[150]{'policy_loss': -19.583, 'ent_loss': -1.071, 'mem_len': 19667}
[152]{'policy_loss': -19.485, 'ent_loss': -1.074, 'mem_len': 20042}
[154]{'policy_loss': -19.782, 'ent_loss': -1.111, 'mem_len': 20297}
[156]{'policy_loss': -19.374, 'ent_loss': -1.062, 'mem_len': 20837}
[158]{'policy_loss': -19.979, 'ent_loss': -1.128, 'mem_len': 21077}
[160]{'policy_loss': -20.423, 'ent_loss': -1.078, 'mem_len': 21394}
[162]{'policy_loss': -20.043, 'ent_loss': -1.105, 'mem_len': 21710}
[164]{'policy_loss': -19.971, 'ent_loss': -1.135, 'mem_len': 21964}
[166]{'policy_loss': -20.055, 'ent_loss': -1.119, 'mem_len': 22279}
[168]{'policy_loss': -21.333, 'ent_loss': -1.148, 'mem_len': 22545}
[170]{'policy_loss': -20.825, 'ent_loss': -1.152, 'mem_len': 23000}
[172]{'policy_loss': -20.757, 'ent_loss': -1.119, 'mem_len': 23241}
[174]{'policy_loss': -20.798, 'ent_loss': -1.076, 'mem_len': 23463}
[176]{'policy_loss': -19.657, 'ent_loss': -1.127, 'mem_len': 23713}
[178]{'policy_loss': -20.44, 'ent_loss': -1.173, 'mem_len': 24019}
[180]{'policy_loss': -21.175, 'ent_loss': -1.133, 'mem_len': 24433}
[182]{'policy_loss': -21.32, 'ent_loss': -1.119, 'mem_len': 24757}
[184]{'policy_loss': -21.621, 'ent_loss': -1.228, 'mem_len': 25062}
[186]{'policy_loss': -21.799, 'ent_loss': -1.187, 'mem_len': 25533}
[188]{'policy_loss': -21.411, 'ent_loss': -1.04, 'mem_len': 25787}
[190]{'policy_loss': -22.306, 'ent_loss': -1.256, 'mem_len': 26175}
[192]{'policy_loss': -21.007, 'ent_loss': -1.114, 'mem_len': 26537}
[194]{'policy_loss': -22.264, 'ent_loss': -1.186, 'mem_len': 26875}
[196]{'policy_loss': -23.446, 'ent_loss': -1.027, 'mem_len': 27350}
[198]{'policy_loss': -20.801, 'ent_loss': -1.277, 'mem_len': 27722}
[200]{'policy_loss': -23.154, 'ent_loss': -1.134, 'mem_len': 27994}
[202]{'policy_loss': -21.992, 'ent_loss': -1.077, 'mem_len': 28202}
[204]{'policy_loss': -21.941, 'ent_loss': -1.057, 'mem_len': 28695}
[206]{'policy_loss': -22.012, 'ent_loss': -1.059, 'mem_len': 29024}
[208]{'policy_loss': -22.235, 'ent_loss': -1.12, 'mem_len': 29242}
[210]{'policy_loss': -21.597, 'ent_loss': -1.039, 'mem_len': 29562}
[212]{'policy_loss': -21.989, 'ent_loss': -1.151, 'mem_len': 29943}
[214]{'policy_loss': -23.438, 'ent_loss': -1.153, 'mem_len': 30234}
[216]{'policy_loss': -22.949, 'ent_loss': -1.105, 'mem_len': 30725}
[218]{'policy_loss': -22.965, 'ent_loss': -1.143, 'mem_len': 31180}
[220]{'policy_loss': -22.411, 'ent_loss': -1.181, 'mem_len': 31806}
[222]{'policy_loss': -22.625, 'ent_loss': -1.029, 'mem_len': 32035}
[224]{'policy_loss': -23.326, 'ent_loss': -1.071, 'mem_len': 32420}
[226]{'policy_loss': -24.039, 'ent_loss': -1.075, 'mem_len': 32879}
[228]{'policy_loss': -23.739, 'ent_loss': -1.115, 'mem_len': 33115}
[230]{'policy_loss': -23.964, 'ent_loss': -1.211, 'mem_len': 33640}
[232]{'policy_loss': -24.954, 'ent_loss': -1.051, 'mem_len': 34030}
[234]{'policy_loss': -24.714, 'ent_loss': -1.117, 'mem_len': 34433}
[236]{'policy_loss': -23.169, 'ent_loss': -1.151, 'mem_len': 35011}
[238]{'policy_loss': -23.142, 'ent_loss': -1.122, 'mem_len': 35230}
